"Comment","Designator","Footprint","LCSC Part #","Quantity"
"STM32H723ZGT6","U1","LQFP-144_20x20mm","C2677129","1"
"W25Q128JVSIQ","U2","SOIC-8_5.23x5.23mm","C97521","1"
"TPS54331DR","U10,U11","SOIC-8_3.9x4.9mm","C9865","2"
"AP7361C-33E","U12","SOT-223-3","C166062","1"
"74LVC245APW","U20,U21,U22,U23","TSSOP-20","C6448","4"
"74HC4052PW","U24","TSSOP-16","C5607","1"
"USBLC6-2SC6","U30,U31","SOT-23-6","C7519","2"
"SS34","D1,D2","SMA","C8678","2"
"25MHz Crystal","Y1","SMD-3215-4P","C13738","1"
"32.768kHz Crystal","Y2","SMD-2012-2P","C32346","1"
"10uH 3A","L1,L2","6045","C339747","2"
"100nF 50V","C1-C50","0402","C1525","50"
"4.7uF 25V","C51-C58","0603","C19666","8"
"10uF 16V","C59-C64","0805","C15850","6"
"100uF 16V","C65-C68","1206","C3339","4"
"22uF 10V","C69-C72","0805","C45783","4"
"1uF 25V","C73-C80","0402","C52923","8"
"15pF 50V","C81,C82","0402","C1548","2"
"10pF 50V","C83,C84","0402","C32949","2"
"10k 1%","R1-R30","0402","C25744","30"
"1k 1%","R31-R40","0402","C11702","10"
"330R 1%","R41-R44","0402","C25104","4"
"5.1k 1%","R45-R48","0402","C25905","4"
"100R 1%","R49-R56","0402","C25076","8"
"49.9R 1%","R57-R60","0402","C25121","4"
"LED Green","LED1","0603","C72043","1"
"LED Blue","LED2","0603","C72041","1"
"LED Yellow","LED3","0603","C72038","1"
"LED Red","LED4","0603","C2286","1"
"Tact Switch","SW1,SW2","6x6mm","C318884","2"
