Designator,Mid X,Mid Y,Layer,Rotation
U1,105.00,50.00,top,0
U2,120.00,42.00,top,0
U10,25.00,80.00,top,0
U11,42.00,80.00,top,0
U12,55.00,80.00,top,0
U20,75.00,30.00,top,0
U21,85.00,30.00,top,0
U22,95.00,30.00,top,0
U23,65.00,65.00,top,0
U24,75.00,65.00,top,0
U28,85.00,65.00,top,0
D10,145.00,82.00,top,0
D11,32.00,90.00,top,0
D1,15.00,85.00,top,0
D2,48.00,85.00,top,0
Y1,92.00,42.00,top,0
Y2,92.00,58.00,top,0
L1,18.00,80.00,top,0
L2,35.00,80.00,top,0
C1,102.00,38.00,top,0
C2,102.00,40.00,top,0
C3,102.00,42.00,top,0
C4,102.00,44.00,top,0
C5,108.00,38.00,top,0
C6,108.00,40.00,top,0
C7,108.00,42.00,top,0
C8,108.00,44.00,top,0
C9,98.00,50.00,top,90
C10,100.00,50.00,top,90
C11,112.00,50.00,top,90
C12,114.00,50.00,top,90
C13,105.00,62.00,top,0
C14,107.00,62.00,top,0
C15,109.00,62.00,top,0
C16,111.00,62.00,top,0
C17,105.00,38.00,top,0
C18,107.00,38.00,top,0
C19,109.00,38.00,top,0
C20,111.00,38.00,top,0
C21,78.00,32.00,top,0
C22,78.00,34.00,top,0
C23,88.00,32.00,top,0
C24,88.00,34.00,top,0
C25,98.00,32.00,top,0
C26,98.00,34.00,top,0
C27,68.00,67.00,top,0
C28,68.00,69.00,top,0
C29,78.00,67.00,top,0
C30,78.00,69.00,top,0
C31,22.00,82.00,top,0
C32,22.00,84.00,top,0
C33,28.00,82.00,top,0
C34,28.00,84.00,top,0
C35,39.00,82.00,top,0
C36,39.00,84.00,top,0
C37,45.00,82.00,top,0
C38,45.00,84.00,top,0
C39,122.00,44.00,top,0
C40,124.00,44.00,top,0
C41,27.00,42.00,top,0
C42,27.00,44.00,top,0
C43,23.00,62.00,top,0
C44,27.00,62.00,top,0
C45,55.00,52.00,top,0
C46,55.00,54.00,top,0
C47,57.00,52.00,top,0
C48,57.00,54.00,top,0
C49,145.00,48.00,top,0
C50,145.00,50.00,top,0
C51,105.00,64.00,top,0
C52,105.00,66.00,top,0
C53,98.00,42.00,top,0
C54,100.00,42.00,top,0
C55,30.00,82.00,top,0
C56,47.00,82.00,top,0
C57,120.00,38.00,top,0
C58,120.00,46.00,top,0
C61,12.00,82.00,top,0
C62,52.00,82.00,top,0
C63,60.00,82.00,top,0
C64,22.00,38.00,top,0
C65,28.00,58.00,top,0
C66,145.00,88.00,top,0
C71,8.00,85.00,top,0
C72,55.00,85.00,top,0
C73,12.00,75.00,top,0
C74,52.00,75.00,top,0
C75,92.00,44.00,top,0
C76,92.00,46.00,top,0
C77,105.00,35.00,top,0
C78,105.00,65.00,top,0
C81,90.00,42.00,top,0
C82,94.00,42.00,top,0
C83,90.00,58.00,top,0
C84,94.00,58.00,top,0
C85,25.00,78.00,top,0
C86,42.00,78.00,top,0
C87,118.00,40.00,top,0
C88,122.00,40.00,top,0
C91,90.00,40.00,top,0
C92,94.00,40.00,top,0
C93,90.00,56.00,top,0
C94,94.00,56.00,top,0
R1,97.00,38.00,top,0
R2,99.00,38.00,top,0
R3,97.00,62.00,top,0
R4,99.00,62.00,top,0
R5,73.00,28.00,top,0
R6,77.00,28.00,top,0
R7,83.00,28.00,top,0
R8,87.00,28.00,top,0
R9,93.00,28.00,top,0
R10,97.00,28.00,top,0
R11,63.00,63.00,top,0
R12,67.00,63.00,top,0
R13,73.00,63.00,top,0
R14,77.00,63.00,top,0
R15,83.00,63.00,top,0
R16,87.00,63.00,top,0
R17,53.00,48.00,top,0
R18,57.00,48.00,top,0
R19,53.00,52.00,top,0
R20,57.00,52.00,top,0
R21,116.00,58.00,top,0
R22,118.00,58.00,top,0
R23,116.00,60.00,top,0
R24,118.00,60.00,top,0
R25,120.00,58.00,top,0
R26,120.00,60.00,top,0
R27,122.00,58.00,top,0
R28,122.00,60.00,top,0
R29,124.00,58.00,top,0
R30,124.00,60.00,top,0
R31,133.00,62.00,top,0
R32,133.00,65.00,top,0
R33,133.00,68.00,top,0
R34,133.00,71.00,top,0
R35,137.00,75.00,top,0
R36,137.00,82.00,top,0
R37,145.00,47.00,top,0
R38,145.00,43.00,top,0
R39,145.00,70.00,top,0
R40,145.00,66.00,top,0
R41,137.00,62.00,top,0
R42,137.00,65.00,top,0
R43,137.00,68.00,top,0
R44,137.00,71.00,top,0
R51,143.00,83.00,top,0
R52,147.00,83.00,top,0
R53,30.00,93.00,top,0
R54,34.00,93.00,top,0
R55,143.00,87.00,top,0
R56,147.00,87.00,top,0
R61,30.00,97.00,top,0
R62,34.00,97.00,top,0
R63,143.00,91.00,top,0
R64,147.00,91.00,top,0
R71,143.00,42.00,top,0
R72,143.00,44.00,top,0
R73,143.00,46.00,top,0
R74,143.00,48.00,top,0
R75,143.00,65.00,top,0
R76,143.00,67.00,top,0
R77,143.00,69.00,top,0
R78,143.00,71.00,top,0
R81,145.00,52.00,top,0
R82,145.00,54.00,top,0
R83,145.00,56.00,top,0
R84,145.00,58.00,top,0
LED1,135.00,62.00,top,0
LED2,135.00,65.00,top,0
LED3,135.00,68.00,top,0
LED4,135.00,71.00,top,0
SW1,135.00,75.00,top,0
SW2,135.00,82.00,top,0
